10
60
2963
2112
1878
1815
1286
1262
1173
914
297
230
1	860
2	632
15	325
90	905
39	298
54	407
163	712
231	855
205	732
265	895
55	162
268	693
261	635
329	770
430	914
136	245
398	579
671	530
826	584
705	474
102	67
756	491
918	518
762	362
558	225
753	246
951	257
784	150
917	52
974	23
44	858
65	577
117	963
169	947
284	965
202	644
249	777
195	502
400	909
452	962
309	540
373	623
669	816
967	984
582	561
533	510
664	569
824	673
991	670
989	652
190	91
615	285
890	400
648	229
618	196
273	84
777	207
710	70
815	76
639	34
