20
60
1440
1401
1265
1213
1098
1076
1069
1039
878
823
822
723
612
494
482
469
345
280
134
82
10	410
15	415
85	485
233	633
275	675
282	682
314	714
334	734
352	752
383	783
420	820
487	887
579	979
591	991
603	1003
682	1082
683	1083
698	1098
718	1118
756	1156
795	1195
795	1195
801	1201
828	1228
845	1245
850	1250
918	1318
932	1332
954	1354
958	1358
7	407
55	455
71	471
96	496
239	639
275	675
289	689
352	752
391	791
409	809
438	838
451	851
459	859
522	922
528	928
540	940
551	951
566	966
574	974
589	989
589	989
610	1010
624	1024
639	1039
644	1044
678	1078
711	1111
766	1166
815	1215
858	1258
