20
60
1535
1457
1400
1281
1256
1227
1186
1088
791
748
737
534
417
338
295
244
230
221
188
57
9	409
15	415
91	491
97	497
129	529
302	702
343	743
387	787
411	811
427	827
431	831
536	936
552	952
557	957
568	968
594	994
622	1022
664	1064
681	1081
732	1132
734	1134
737	1137
750	1150
761	1161
857	1257
876	1276
879	1279
897	1297
942	1342
950	1350
9	409
30	430
45	445
50	450
72	472
136	536
155	555
184	584
216	616
249	649
290	690
308	708
332	732
386	786
426	826
470	870
482	882
500	900
630	1030
644	1044
733	1133
739	1139
754	1154
826	1226
827	1227
828	1228
836	1236
889	1289
950	1350
956	1356
