10
60
3307
2387
2175
1713
1597
1436
1200
1029
625
208
10	110
62	170
133	332
253	506
227	389
326	556
402	597
410	570
218	301
267	364
555	731
131	166
594	749
602	753
553	690
516	637
890	900
420	422
837	718
708	606
767	639
499	391
615	467
840	630
853	615
737	500
234	157
597	375
944	590
914	556
81	420
48	166
88	299
115	331
232	477
232	462
129	254
218	426
190	296
341	480
687	799
418	454
866	891
911	921
841	808
732	695
878	820
806	752
864	768
620	541
749	617
675	543
555	442
739	584
649	512
890	683
698	501
755	483
524	327
719	447
