30
60
492
409
414
484
503
438
412
492
577
413
411
573
404
515
459
476
556
434
444
541
502
475
540
504
546
561
523
454
426
1000
84	94
901	911
335	345
44	54
237	247
431	441
925	935
95	105
500	510
781	791
272	282
847	857
439	449
622	632
535	545
132	142
122	132
652	662
351	361
416	426
619	629
628	638
195	205
809	819
395	405
891	901
150	160
814	824
543	553
391	401
716	726
755	765
227	237
649	659
475	485
732	742
584	594
337	347
337	347
880	890
600	610
569	579
824	834
947	957
600	610
394	404
778	788
124	134
676	686
230	240
204	214
145	155
192	202
926	936
387	397
195	205
493	503
658	668
527	537
640	650
